UniprotAccession	Organism	Kingdom	ProteinLength	TMHelixFirst90
P40161	Saccharomyces cerevisiae	Fungi	455	False
Q9VKM1	Drosophila melanogaster	Metazoa	843	False
P06746	Homo sapiens	Metazoa	335	False
Q9LW29	Arabidopsis thaliana	Viridiplantae	575	False
Q94AT3	Arabidopsis thaliana	Viridiplantae	378	False
Q9FMM3	Arabidopsis thaliana	Viridiplantae	1714	False
P33419	Saccharomyces cerevisiae	Fungi	253	False
Q94AQ9	Arabidopsis thaliana	Viridiplantae	260	False
Q0WVF8	Arabidopsis thaliana	Viridiplantae	1134	False
Q8GYF7	Arabidopsis thaliana	Viridiplantae	377	False
Q15257	Homo sapiens	Metazoa	358	False
O43542	Homo sapiens	Metazoa	346	False
P91277	Caenorhabditis elegans	Metazoa	397	False
M0R7Z9	Rattus norvegicus	Metazoa	475	False
Q10302	Schizosaccharomyces pombe	Fungi	646	False
Q92522	Homo sapiens	Metazoa	213	False
Q16891	Homo sapiens	Metazoa	758	True
Q8WV24	Homo sapiens	Metazoa	401	False
Q9FNC7	Arabidopsis thaliana	Viridiplantae	717	False
Q8IVP5	Homo sapiens	Metazoa	155	True
Q5PT50	Rattus norvegicus	Metazoa	340	True
Q9C7S0	Arabidopsis thaliana	Viridiplantae	295	False
P38265	Saccharomyces cerevisiae	Fungi	245	False
Q8IU81	Homo sapiens	Metazoa	584	False
Q9DBD5	Mus musculus	Metazoa	1123	False
Q5HYK7	Homo sapiens	Metazoa	790	False
P40688	Drosophila melanogaster	Metazoa	548	False
P17861	Homo sapiens	Metazoa	261	False
P38879	Saccharomyces cerevisiae	Fungi	174	False
Q69ZQ1	Mus musculus	Metazoa	716	True
P47045	Saccharomyces cerevisiae	Fungi	478	True
Q80WL1	Rattus norvegicus	Metazoa	549	True
Q20646	Caenorhabditis elegans	Metazoa	644	False
P14905	Saccharomyces cerevisiae	Fungi	389	False
Q9C811	Arabidopsis thaliana	Viridiplantae	1495	False
Q8GSI0	Oryza sativa subsp. japonica	Viridiplantae	179	False
Q6NQK2	Arabidopsis thaliana	Viridiplantae	449	False
F4IY03	Arabidopsis thaliana	Viridiplantae	332	False
Q1MTN9	Schizosaccharomyces pombe	Fungi	544	False
A8MUP2	Homo sapiens	Metazoa	240	False
Q9WV69	Mus musculus	Metazoa	405	False
Q8GXR9	Arabidopsis thaliana	Viridiplantae	519	False
Q54HC6	Dictyostelium discoideum	Other	1460	False
P38351	Saccharomyces cerevisiae	Fungi	445	False
Q9BZL6	Homo sapiens	Metazoa	878	False
Q84LB6	Solanum lycopersicum	Viridiplantae	417	False
Q9P7W8	Schizosaccharomyces pombe	Fungi	780	False
P35195	Saccharomyces cerevisiae	Fungi	104	False
A7DTF0	Caenorhabditis elegans	Metazoa	337	False
Q14164	Homo sapiens	Metazoa	716	False
O14362	Schizosaccharomyces pombe	Fungi	504	False
O60216	Homo sapiens	Metazoa	631	False
Q3UK10	Mus musculus	Metazoa	175	False
Q9UII2	Homo sapiens	Metazoa	106	False
P53803	Homo sapiens	Metazoa	58	False
G5EEG1	Caenorhabditis elegans	Metazoa	482	False
Q8N5P1	Homo sapiens	Metazoa	291	False
P36120	Saccharomyces cerevisiae	Fungi	742	False
Q7RWZ7	Neurospora crassa	Fungi	201	False
Q8IVS8	Homo sapiens	Metazoa	523	False
Q86VP1	Homo sapiens	Metazoa	789	False
P83456	Gadus morhua	Metazoa	477	False
Q96EB1	Homo sapiens	Metazoa	424	False
Q1K7L7	Neurospora crassa	Fungi	219	False
Q9R085	Rattus norvegicus	Metazoa	952	False
Q62318	Mus musculus	Metazoa	834	False
P57678	Homo sapiens	Metazoa	1058	False
P48437	Mus musculus	Metazoa	737	False
P56749	Homo sapiens	Metazoa	244	True
Q13794	Homo sapiens	Metazoa	54	False
Q7Z6K1	Homo sapiens	Metazoa	395	False
Q04377	Saccharomyces cerevisiae	Fungi	747	False
Q61827	Mus musculus	Metazoa	156	False
Q9NUQ9	Homo sapiens	Metazoa	324	False
P40554	Saccharomyces cerevisiae	Fungi	99	False
P07199	Homo sapiens	Metazoa	599	False
F4I902	Arabidopsis thaliana	Viridiplantae	420	False
P0CG12	Homo sapiens	Metazoa	524	False
P83183	Eledone cirrhosa	Metazoa	84	False
O75131	Homo sapiens	Metazoa	537	False
Q9BYB4	Homo sapiens	Metazoa	327	False
Q06667	Saccharomyces cerevisiae	Fungi	281	False
P41930	Saccharomyces cerevisiae	Fungi	458	True
Q6NL34	Drosophila melanogaster	Metazoa	543	False
O14322	Schizosaccharomyces pombe	Fungi	313	False
P0CT58	Schizosaccharomyces pombe	Fungi	130	False
Q69YH5	Homo sapiens	Metazoa	1023	False
Q04172	Saccharomyces cerevisiae	Fungi	456	False
P14064	Saccharomyces cerevisiae	Fungi	554	False
Q9Y2I1	Homo sapiens	Metazoa	1504	False
Q05043	Saccharomyces cerevisiae	Fungi	376	False
Q93WX6	Arabidopsis thaliana	Viridiplantae	463	False
Q8LPS2	Arabidopsis thaliana	Viridiplantae	670	False
Q53TQ3	Homo sapiens	Metazoa	1027	False
Q7SGH0	Neurospora crassa	Fungi	98	False
Q9C0C9	Homo sapiens	Metazoa	1292	False
Q8VZA0	Arabidopsis thaliana	Viridiplantae	936	False
A2VEY9	Drosophila melanogaster	Metazoa	693	True
P38289	Saccharomyces cerevisiae	Fungi	585	False
P25638	Saccharomyces cerevisiae	Fungi	111	False
P30047	Homo sapiens	Metazoa	84	False
I3W9F6	Rhizophagus irregularis	Fungi	276	True
Q9U7D5	Caenorhabditis elegans	Metazoa	611	True
A0A455ZAR2	Homo sapiens	Metazoa	87	False
Q09330	Schizosaccharomyces pombe	Fungi	199	False
P36162	Saccharomyces cerevisiae	Fungi	133	False
Q13057	Homo sapiens	Metazoa	564	False
Q7S5N0	Neurospora crassa	Fungi	364	False
Q9TW65	Caenorhabditis elegans	Metazoa	3674	False
P38811	Saccharomyces cerevisiae	Fungi	3744	False
P47050	Saccharomyces cerevisiae	Fungi	842	False
Q1K528	Neurospora crassa	Fungi	82	True
P38781	Saccharomyces cerevisiae	Fungi	883	False
P18409	Saccharomyces cerevisiae	Fungi	493	False
Q5JVF3	Homo sapiens	Metazoa	399	False
O94411	Schizosaccharomyces pombe	Fungi	509	False
Q5M729	Arabidopsis thaliana	Viridiplantae	539	False
O35615	Mus musculus	Metazoa	995	False
Q02455	Saccharomyces cerevisiae	Fungi	1875	False
Q6NZQ4	Mus musculus	Metazoa	1056	False
Q84XV2	Arabidopsis thaliana	Viridiplantae	386	False
Q15067	Homo sapiens	Metazoa	660	False
Q6DFW0	Mus musculus	Metazoa	481	False
Q94AX2	Arabidopsis thaliana	Viridiplantae	277	False
O74845	Schizosaccharomyces pombe	Fungi	564	False
Q04491	Saccharomyces cerevisiae	Fungi	297	False
P97411	Mus musculus	Metazoa	478	False
O14013	Schizosaccharomyces pombe	Fungi	556	False
P53853	Saccharomyces cerevisiae	Fungi	264	False
Q9UST7	Schizosaccharomyces pombe	Fungi	1339	False
Q08932	Saccharomyces cerevisiae	Fungi	381	False
P53784	Mus musculus	Metazoa	375	False
Q04048	Saccharomyces cerevisiae	Fungi	859	False
Q6BDR8	Schizosaccharomyces pombe	Fungi	300	False
Q9NRY2	Homo sapiens	Metazoa	104	False
P78524	Homo sapiens	Metazoa	1137	False
Q9Y315	Homo sapiens	Metazoa	318	False
P42114	Neurospora crassa	Fungi	124	False
Q6Z955	Oryza sativa subsp. japonica	Viridiplantae	518	False
P53913	Saccharomyces cerevisiae	Fungi	173	False
Q61884	Mus musculus	Metazoa	491	False
P38264	Saccharomyces cerevisiae	Fungi	188	True
Q9M1I7	Arabidopsis thaliana	Viridiplantae	467	False
Q9H814	Homo sapiens	Metazoa	394	False
Q71SY5	Homo sapiens	Metazoa	747	False
Q9FFC7	Arabidopsis thaliana	Viridiplantae	978	False
P80304	Sepia officinalis	Metazoa	51	False
P62913	Homo sapiens	Metazoa	178	False
Q9VB46	Drosophila melanogaster	Metazoa	579	True
P87227	Schizosaccharomyces pombe	Fungi	672	False
Q9NZB2	Homo sapiens	Metazoa	1118	False
Q9P0U1	Homo sapiens	Metazoa	55	True
P10069	Emericella nidulans	Fungi	432	False
Q95Q39	Caenorhabditis elegans	Metazoa	287	True
P03968	Bos taurus	Metazoa	155	False
Q9NPB1	Homo sapiens	Metazoa	228	False
Q7Z2Z1	Homo sapiens	Metazoa	1910	False
Q9UFW8	Homo sapiens	Metazoa	167	False
Q9SZD6	Arabidopsis thaliana	Viridiplantae	953	False
P36037	Saccharomyces cerevisiae	Fungi	715	False
Q3U8K7	Mus musculus	Metazoa	883	False
P40486	Saccharomyces cerevisiae	Fungi	507	False
Q6S5G3	Arabidopsis thaliana	Viridiplantae	793	False
Q9UT50	Schizosaccharomyces pombe	Fungi	485	False
Q92750	Homo sapiens	Metazoa	862	False
Q9Y3A4	Homo sapiens	Metazoa	280	False
O94478	Schizosaccharomyces pombe	Fungi	420	False
Q4G0N4	Homo sapiens	Metazoa	442	False
Q1H5E9	Arabidopsis thaliana	Viridiplantae	397	False
Q53KK6	Oryza sativa subsp. japonica	Viridiplantae	784	False
O94670	Schizosaccharomyces pombe	Fungi	273	False
Q6PJ21	Homo sapiens	Metazoa	355	False
Q7L8L6	Homo sapiens	Metazoa	764	False
Q9P6S5	Schizosaccharomyces pombe	Fungi	307	False
Q9LVA9	Arabidopsis thaliana	Viridiplantae	420	False
P70120	Mus musculus	Metazoa	167	False
Q09228	Caenorhabditis elegans	Metazoa	1129	False
F4HS99	Arabidopsis thaliana	Viridiplantae	1797	False
Q14154	Homo sapiens	Metazoa	515	False
Q15916	Homo sapiens	Metazoa	424	False
A0A0U2UYC4	Mycosarcoma maydis	Fungi	493	False
Q54QQ1	Dictyostelium discoideum	Other	1387	False
P21675	Homo sapiens	Metazoa	1893	False
Q9SX85	Arabidopsis thaliana	Viridiplantae	887	False
P06738	Saccharomyces cerevisiae	Fungi	902	False
Q9M394	Arabidopsis thaliana	Viridiplantae	471	False
Q9FFY9	Arabidopsis thaliana	Viridiplantae	640	False
Q96WW2	Schizosaccharomyces pombe	Fungi	383	False
P93009	Arabidopsis thaliana	Viridiplantae	182	False
Q8L7E5	Arabidopsis thaliana	Viridiplantae	703	False
Q10F03	Oryza sativa subsp. japonica	Viridiplantae	529	False
Q96F07	Homo sapiens	Metazoa	1278	False
Q9CQ79	Mus musculus	Metazoa	226	False
Q1RMW2	Bos taurus	Metazoa	414	True
Q84VX3	Arabidopsis thaliana	Viridiplantae	626	False
P17694	Bos taurus	Metazoa	463	False
O48716	Arabidopsis thaliana	Viridiplantae	465	False
Q8VDP2	Mus musculus	Metazoa	222	False
Q84JG2	Arabidopsis thaliana	Viridiplantae	469	False
Q06668	Saccharomyces cerevisiae	Fungi	471	False
Q06681	Saccharomyces cerevisiae	Fungi	1438	False
Q6NPM8	Arabidopsis thaliana	Viridiplantae	346	False
P13164	Homo sapiens	Metazoa	125	True
P35790	Homo sapiens	Metazoa	457	False
O13992	Schizosaccharomyces pombe	Fungi	965	False
Q96D46	Homo sapiens	Metazoa	503	False
Q9VH08	Drosophila melanogaster	Metazoa	317	False
Q8QFX1	Gallus gallus	Metazoa	1325	False
Q3T040	Bos taurus	Metazoa	242	False
P0DO12	Arabidopsis thaliana	Viridiplantae	126	False
P36402	Homo sapiens	Metazoa	384	False
Q7S1R6	Neurospora crassa	Fungi	267	False
P29590	Homo sapiens	Metazoa	882	False
P92189	Drosophila melanogaster	Metazoa	321	False
Q9QZA2	Rattus norvegicus	Metazoa	873	False
P83369	Homo sapiens	Metazoa	360	False
Q9DB10	Mus musculus	Metazoa	107	True
P33339	Saccharomyces cerevisiae	Fungi	1025	False
O60832	Homo sapiens	Metazoa	514	False
Q03673	Saccharomyces cerevisiae	Fungi	198	False
Q15543	Homo sapiens	Metazoa	124	False
Q42588	Arabidopsis thaliana	Viridiplantae	314	False
Q91XT6	Mus musculus	Metazoa	489	False
Q9GMC9	Ovis aries	Metazoa	169	True
Q9CWR7	Mus musculus	Metazoa	339	True
Q9VW47	Drosophila melanogaster	Metazoa	2531	False
P38345	Saccharomyces cerevisiae	Fungi	138	False
F4K933	Arabidopsis thaliana	Viridiplantae	483	False
Q07799	Saccharomyces cerevisiae	Fungi	665	False
O95551	Homo sapiens	Metazoa	362	False
Q9Y3A0	Homo sapiens	Metazoa	265	False
P13638	Rattus norvegicus	Metazoa	290	True
Q8W104	Arabidopsis thaliana	Viridiplantae	593	False
P22058	Drosophila melanogaster	Metazoa	355	False
G3XA57	Mus musculus	Metazoa	512	False
Q9NUK0	Homo sapiens	Metazoa	354	False
P15505	Gallus gallus	Metazoa	1004	False
Q6P6C2	Homo sapiens	Metazoa	394	False
Q8N2H3	Homo sapiens	Metazoa	581	False
Q9BZJ4	Homo sapiens	Metazoa	359	True
Q17RH7	Homo sapiens	Metazoa	139	False
Q04430	Saccharomyces cerevisiae	Fungi	367	False
Q9D3F7	Mus musculus	Metazoa	229	False
Q03254	Saccharomyces cerevisiae	Fungi	732	False
Q9H816	Homo sapiens	Metazoa	532	False
Q10290	Schizosaccharomyces pombe	Fungi	303	False
Q04748	Saccharomyces cerevisiae	Fungi	898	False
Q95RQ8	Drosophila melanogaster	Metazoa	683	False
Q9LW57	Arabidopsis thaliana	Viridiplantae	284	False
Q0WMY5	Arabidopsis thaliana	Viridiplantae	952	False
Q6K271	Oryza sativa subsp. japonica	Viridiplantae	738	False
Q9ES40	Rattus norvegicus	Metazoa	188	True
Q8T053	Drosophila melanogaster	Metazoa	434	False
Q9H1E3	Homo sapiens	Metazoa	243	False
O42936	Schizosaccharomyces pombe	Fungi	470	False
P10849	Saccharomyces cerevisiae	Fungi	440	False
Q8W4J9	Arabidopsis thaliana	Viridiplantae	908	False
Q12381	Schizosaccharomyces pombe	Fungi	906	False
P48039	Homo sapiens	Metazoa	350	True
G5EDM7	Caenorhabditis elegans	Metazoa	627	False
P53076	Saccharomyces cerevisiae	Fungi	958	False
Q61069	Mus musculus	Metazoa	310	False
Q5T8A7	Homo sapiens	Metazoa	1209	False
Q9UHQ1	Homo sapiens	Metazoa	456	False
Q9Y2D1	Homo sapiens	Metazoa	282	False
Q7Z4V0	Homo sapiens	Metazoa	828	False
Q6VY05	Mus musculus	Metazoa	352	False
Q9FG00	Arabidopsis thaliana	Viridiplantae	491	True
P08518	Saccharomyces cerevisiae	Fungi	1224	False
P52296	Rattus norvegicus	Metazoa	875	False
P22009	Candida tropicalis	Fungi	127	False
P42838	Saccharomyces cerevisiae	Fungi	414	True
Q08687	Saccharomyces cerevisiae	Fungi	178	False
Q94AQ8	Arabidopsis thaliana	Viridiplantae	348	False
Q06236	Saccharomyces cerevisiae	Fungi	168	True
O82230	Arabidopsis thaliana	Viridiplantae	182	False
A2SWM2	Danio rerio	Metazoa	504	True
P22674	Homo sapiens	Metazoa	350	False
B9DHT4	Arabidopsis thaliana	Viridiplantae	710	False
O94259	Schizosaccharomyces pombe	Fungi	327	False
Q6RFH5	Homo sapiens	Metazoa	385	False
O35094	Rattus norvegicus	Metazoa	453	False
P35244	Homo sapiens	Metazoa	121	False
Q9Y6K9	Homo sapiens	Metazoa	419	False
P57088	Homo sapiens	Metazoa	247	True
Q13772	Homo sapiens	Metazoa	614	False
P53004	Homo sapiens	Metazoa	296	False
O74113	Schizosaccharomyces pombe	Fungi	638	False
C6EUD4	Fasciola hepatica	Metazoa	478	False
Q8C854	Mus musculus	Metazoa	591	False
Q5BPF3	Arabidopsis thaliana	Viridiplantae	262	False
Q8RWV3	Arabidopsis thaliana	Viridiplantae	416	False
Q86WV6	Homo sapiens	Metazoa	379	True
P38891	Saccharomyces cerevisiae	Fungi	393	False
O94916	Homo sapiens	Metazoa	1531	False
Q12734	Saccharomyces cerevisiae	Fungi	1121	False
Q9Y287	Homo sapiens	Metazoa	266	True
P63212	Bos taurus	Metazoa	71	False
P04038	Bos taurus	Metazoa	74	True
Q12749	Saccharomyces cerevisiae	Fungi	1114	False
P17883	Saccharomyces cerevisiae	Fungi	1432	False
Q71BG9	Solanum lycopersicum	Viridiplantae	861	False
P09798	Saccharomyces cerevisiae	Fungi	840	False
Q8N108	Homo sapiens	Metazoa	512	False
Q21776	Caenorhabditis elegans	Metazoa	987	False
Q9SKZ5	Arabidopsis thaliana	Viridiplantae	560	False
Q8R3K3	Mus musculus	Metazoa	381	False
Q9SU72	Arabidopsis thaliana	Viridiplantae	623	False
P42338	Homo sapiens	Metazoa	1070	False
E5KBU3	Pinus taeda	Viridiplantae	354	False
Q9ULV3	Homo sapiens	Metazoa	898	False
P38557	Arabidopsis thaliana	Viridiplantae	474	False
O75665	Homo sapiens	Metazoa	1012	False
P78929	Schizosaccharomyces pombe	Fungi	137	False
P35728	Saccharomyces cerevisiae	Fungi	441	False
A0A8I3PDQ1	Canis lupus familiaris	Metazoa	834	False
Q9UJQ4	Homo sapiens	Metazoa	1053	False
Q8VY77	Arabidopsis thaliana	Viridiplantae	91	True
Q9NAD6	Caenorhabditis elegans	Metazoa	706	False
Q96B42	Homo sapiens	Metazoa	140	True
Q8IZ08	Homo sapiens	Metazoa	494	True
Q8R4F0	Mus musculus	Metazoa	553	True
Q03661	Saccharomyces cerevisiae	Fungi	1658	False
P31949	Homo sapiens	Metazoa	105	False
Q9UL03	Homo sapiens	Metazoa	887	False
P15919	Mus musculus	Metazoa	1040	False
O43502	Homo sapiens	Metazoa	376	False
Q9NP98	Homo sapiens	Metazoa	299	False
Q4L180	Homo sapiens	Metazoa	1135	False
Q9LSV0	Arabidopsis thaliana	Viridiplantae	289	False
O60830	Homo sapiens	Metazoa	172	True
P38227	Saccharomyces cerevisiae	Fungi	689	False
Q8IW03	Homo sapiens	Metazoa	269	False
Q8NB78	Homo sapiens	Metazoa	822	False
P03069	Saccharomyces cerevisiae	Fungi	281	False
Q9WVM1	Mus musculus	Metazoa	628	False
Q5TA50	Homo sapiens	Metazoa	214	False
P52488	Saccharomyces cerevisiae	Fungi	636	False
P48231	Saccharomyces cerevisiae	Fungi	1178	False
Q9SA52	Arabidopsis thaliana	Viridiplantae	378	False
Q5H943	Homo sapiens	Metazoa	113	True
Q9BZF1	Homo sapiens	Metazoa	889	False
P32970	Homo sapiens	Metazoa	193	True
P52656	Drosophila melanogaster	Metazoa	106	False
Q13352	Homo sapiens	Metazoa	177	False
P29747	Drosophila melanogaster	Metazoa	516	False
Q12509	Saccharomyces cerevisiae	Fungi	438	False
Q9VZM7	Drosophila melanogaster	Metazoa	631	False
Q9NVI1	Homo sapiens	Metazoa	1328	False
Q9D9W1	Mus musculus	Metazoa	207	False
Q9CX92	Mus musculus	Metazoa	205	True
Q9M2V1	Arabidopsis thaliana	Viridiplantae	405	False
Q5TYM5	Homo sapiens	Metazoa	149	False
Q8LBB2	Arabidopsis thaliana	Viridiplantae	424	False
Q9WVB3	Mus musculus	Metazoa	581	False
P39112	Saccharomyces cerevisiae	Fungi	969	False
P37263	Saccharomyces cerevisiae	Fungi	153	False
Q08961	Saccharomyces cerevisiae	Fungi	583	False
Q96HI0	Homo sapiens	Metazoa	755	False
Q9QX98	Mus musculus	Metazoa	324	False
P82413	Spinacia oleracea	Viridiplantae	233	False
Q6FN94	Candida glabrata	Fungi	499	False
Q68CP9	Homo sapiens	Metazoa	1835	False
P32898	Saccharomyces cerevisiae	Fungi	989	False
P53168	Saccharomyces cerevisiae	Fungi	247	False
Q8R3H9	Mus musculus	Metazoa	386	False
Q9BYI3	Homo sapiens	Metazoa	521	False
Q6ASS9	Oryza sativa subsp. japonica	Viridiplantae	123	False
Q9W148	Drosophila melanogaster	Metazoa	731	False
Q13888	Homo sapiens	Metazoa	395	False
P84996	Homo sapiens	Metazoa	626	False
Q6EKJ0	Homo sapiens	Metazoa	949	False
Q9NRN7	Homo sapiens	Metazoa	309	False
Q9LVB9	Arabidopsis thaliana	Viridiplantae	172	False
Q99LG4	Mus musculus	Metazoa	440	False
O54963	Rattus norvegicus	Metazoa	1069	False
P53289	Saccharomyces cerevisiae	Fungi	263	False
O74418	Schizosaccharomyces pombe	Fungi	244	False
P37207	Porphyridium purpureum	Other	162	False
Q1G3I2	Arabidopsis thaliana	Viridiplantae	117	False
Q06616	Saccharomyces cerevisiae	Fungi	221	False
O23077	Arabidopsis thaliana	Viridiplantae	319	False
Q93ZB2	Arabidopsis thaliana	Viridiplantae	509	True
O43687	Homo sapiens	Metazoa	104	False
O60158	Schizosaccharomyces pombe	Fungi	432	False
Q9VN60	Drosophila melanogaster	Metazoa	278	False
Q9VW27	Drosophila melanogaster	Metazoa	717	False
P53944	Saccharomyces cerevisiae	Fungi	314	False
Q04177	Saccharomyces cerevisiae	Fungi	643	False
O13712	Schizosaccharomyces pombe	Fungi	844	False
P32357	Saccharomyces cerevisiae	Fungi	355	False
O42978	Schizosaccharomyces pombe	Fungi	80	False
P25588	Saccharomyces cerevisiae	Fungi	1096	False
Q12032	Saccharomyces cerevisiae	Fungi	185	False
Q11107	Caenorhabditis elegans	Metazoa	2248	False
Q8VDP4	Mus musculus	Metazoa	922	False
Q14140	Homo sapiens	Metazoa	314	False
Q8CIV7	Mus musculus	Metazoa	274	False
Q93VT9	Arabidopsis thaliana	Viridiplantae	220	False
P38208	Saccharomyces cerevisiae	Fungi	133	False
G5EGK6	Caenorhabditis elegans	Metazoa	2407	False
P06269	Nicotiana tabacum	Viridiplantae	337	False
Q96JH7	Homo sapiens	Metazoa	1222	False
Q6IDA6	Arabidopsis thaliana	Viridiplantae	162	False
Q92575	Homo sapiens	Metazoa	508	False
Q9LH52	Arabidopsis thaliana	Viridiplantae	325	False
Q9NRN9	Homo sapiens	Metazoa	209	False
P34886	Caenorhabditis elegans	Metazoa	724	False
P81909	Drosophila melanogaster	Metazoa	397	True
Q9BQS6	Homo sapiens	Metazoa	159	False
Q8R4T1	Mus musculus	Metazoa	145	False
O04121	Spinacia oleracea	Viridiplantae	439	False
P34231	Saccharomyces cerevisiae	Fungi	750	False
Q96BI1	Homo sapiens	Metazoa	424	True
Q9UJY1	Homo sapiens	Metazoa	196	False
Q8BJ64	Mus musculus	Metazoa	596	False
Q9HDB9	Homo sapiens	Metazoa	667	False
Q07623	Saccharomyces cerevisiae	Fungi	225	False
P53188	Saccharomyces cerevisiae	Fungi	120	False
P14908	Saccharomyces cerevisiae	Fungi	341	False
Q9LD83	Arabidopsis thaliana	Viridiplantae	556	False
O95847	Homo sapiens	Metazoa	323	True
Q8WX92	Homo sapiens	Metazoa	580	False
Q12874	Homo sapiens	Metazoa	501	False
Q9QZ04	Mus musculus	Metazoa	1284	False
P06774	Saccharomyces cerevisiae	Fungi	265	False
P46681	Saccharomyces cerevisiae	Fungi	530	False
Q80ZQ9	Mus musculus	Metazoa	193	False
A6NGQ2	Homo sapiens	Metazoa	149	False
Q9W6V6	Gallus gallus	Metazoa	2705	False
P23249	Mus musculus	Metazoa	1004	False
P21306	Saccharomyces cerevisiae	Fungi	62	False
Q09823	Schizosaccharomyces pombe	Fungi	791	False
P40505	Saccharomyces cerevisiae	Fungi	327	False
Q99P21	Mus musculus	Metazoa	515	False
Q92989	Homo sapiens	Metazoa	425	False
P32833	Saccharomyces cerevisiae	Fungi	620	False
Q9USQ1	Schizosaccharomyces pombe	Fungi	960	False
A6QPQ5	Bos taurus	Metazoa	325	False
Q7S2C2	Neurospora crassa	Fungi	119	False
P05435	Spinacia oleracea	Viridiplantae	364	False
D0EL35	Arabidopsis thaliana	Viridiplantae	1272	False
Q02630	Saccharomyces cerevisiae	Fungi	1113	False
Q04431	Saccharomyces cerevisiae	Fungi	385	False
Q9H008	Homo sapiens	Metazoa	270	False
Q18412	Caenorhabditis elegans	Metazoa	309	False
Q8BVN9	Mus musculus	Metazoa	434	False
Q96S44	Homo sapiens	Metazoa	253	False
Q3T9M1	Mus musculus	Metazoa	494	False
P47127	Saccharomyces cerevisiae	Fungi	394	False
O74354	Schizosaccharomyces pombe	Fungi	599	False
Q6PIV2	Homo sapiens	Metazoa	292	False
O46411	Bos taurus	Metazoa	560	False
Q10414	Schizosaccharomyces pombe	Fungi	561	False
Q8VIM4	Mus musculus	Metazoa	307	True
O94276	Schizosaccharomyces pombe	Fungi	215	False
Q14432	Homo sapiens	Metazoa	1141	True
Q9D1M4	Mus musculus	Metazoa	174	False
Q9FNB0	Arabidopsis thaliana	Viridiplantae	1381	False
Q8N2Z9	Homo sapiens	Metazoa	138	False
Q9VHJ6	Drosophila melanogaster	Metazoa	592	False
O13702	Schizosaccharomyces pombe	Fungi	450	False
E9Q3G8	Mus musculus	Metazoa	1462	False
P17890	Saccharomyces cerevisiae	Fungi	251	False
Q7L0Y3	Homo sapiens	Metazoa	403	False
Q9EPA7	Mus musculus	Metazoa	285	False
Q9FEC4	Chlamydomonas reinhardtii	Viridiplantae	1783	False
O95833	Homo sapiens	Metazoa	236	True
Q9LVI9	Arabidopsis thaliana	Viridiplantae	426	False
G5EEU2	Caenorhabditis elegans	Metazoa	714	False
Q9BT23	Homo sapiens	Metazoa	127	False
Q7Z7A4	Homo sapiens	Metazoa	578	False
Q9D855	Mus musculus	Metazoa	111	False
P60879	Mus musculus	Metazoa	206	False
O76075	Homo sapiens	Metazoa	338	False
Q9P7Y0	Schizosaccharomyces pombe	Fungi	395	False
O24463	Zea mays	Viridiplantae	328	False
O49629	Arabidopsis thaliana	Viridiplantae	310	False
Q12208	Saccharomyces cerevisiae	Fungi	290	False
Q12507	Saccharomyces cerevisiae	Fungi	346	False
P39990	Saccharomyces cerevisiae	Fungi	126	False
P26755	Saccharomyces cerevisiae	Fungi	122	False
P40014	Saccharomyces cerevisiae	Fungi	221	False
Q9XTB5	Caenorhabditis elegans	Metazoa	500	False
Q6A0D4	Mus musculus	Metazoa	554	False
Q9LMT7	Arabidopsis thaliana	Viridiplantae	478	False
Q12080	Saccharomyces cerevisiae	Fungi	455	False
P29965	Homo sapiens	Metazoa	261	True
Q8RWV8	Arabidopsis thaliana	Viridiplantae	442	False
Q91W39	Mus musculus	Metazoa	579	False
Q9UBQ5	Homo sapiens	Metazoa	218	False
Q283Q6	Xenopus laevis	Metazoa	784	False
Q27403	Drosophila melanogaster	Metazoa	504	False
I3PB37	Petunia hybrida	Viridiplantae	544	False
Q9USW9	Schizosaccharomyces pombe	Fungi	244	False
Q7M0E7	Rattus norvegicus	Metazoa	145	False
P25367	Saccharomyces cerevisiae	Fungi	405	False
P52923	Saccharomyces cerevisiae	Fungi	378	True
Q9NYF8	Homo sapiens	Metazoa	920	False
P50748	Homo sapiens	Metazoa	2209	False
D5LXJ0	Lotus japonicus	Viridiplantae	691	False
Q9H0Z9	Homo sapiens	Metazoa	239	False
Q9NSN8	Homo sapiens	Metazoa	517	False
Q9NXW2	Homo sapiens	Metazoa	375	False
Q12972	Homo sapiens	Metazoa	351	False
O88844	Mus musculus	Metazoa	414	False
E5FYH0	Ovis aries	Metazoa	1599	False
P35729	Saccharomyces cerevisiae	Fungi	1037	False
Q9HAZ2	Homo sapiens	Metazoa	1276	False
O00463	Homo sapiens	Metazoa	557	False
Q14642	Homo sapiens	Metazoa	412	False
Q09349	Caenorhabditis elegans	Metazoa	984	False
Q0P5I5	Bos taurus	Metazoa	327	False
O24370	Solanum tuberosum	Viridiplantae	899	False
Q26635	Sarcophaga peregrina	Metazoa	354	False
Q7Z602	Homo sapiens	Metazoa	305	True
Q21443	Caenorhabditis elegans	Metazoa	566	False
Q86MA2	Trypanosoma brucei brucei	Other	743	False
Q04083	Saccharomyces cerevisiae	Fungi	370	True
Q9SQI2	Arabidopsis thaliana	Viridiplantae	1173	False
Q9C0W0	Schizosaccharomyces pombe	Fungi	409	False
A6NLJ0	Homo sapiens	Metazoa	364	False
Q6B860	Bos taurus	Metazoa	128	False
