UniprotAccession	Organism	Kingdom	ProteinLength	SPPosition	label	TMHelixFirst90	Fold	Set
P40024	Saccharomyces cerevisiae	Fungi	610		negative	False	ac	train
P40160	Saccharomyces cerevisiae	Fungi	425		negative	False	ad	train
P40565	Saccharomyces cerevisiae	Fungi	148		negative	False	ab	train
P41133	Mus musculus	Metazoa	119		negative	False	ae	train
P42845	Saccharomyces cerevisiae	Fungi	420		negative	False	ad	train
P43565	Saccharomyces cerevisiae	Fungi	1770		negative	False	ac	train
P46946	Saccharomyces cerevisiae	Fungi	345		negative	False	ad	train
P46947	Saccharomyces cerevisiae	Fungi	266		negative	False	ac	train
P47093	Saccharomyces cerevisiae	Fungi	109		negative	False	aa	train
P47096	Saccharomyces cerevisiae	Fungi	177		negative	False	ab	train
P50535	Drosophila melanogaster	Metazoa	1039		negative	False	ac	train
P50536	Drosophila melanogaster	Metazoa	512		negative	False	ad	bench
P53082	Saccharomyces cerevisiae	Fungi	120		negative	False	aa	train
P53720	Saccharomyces cerevisiae	Fungi	384		negative	False	ab	train
P57743	Saccharomyces cerevisiae	Fungi	89		negative	False	ab	train
P90994	Caenorhabditis elegans	Metazoa	187		negative	False	ae	train
Q02685	Saccharomyces cerevisiae	Fungi	241		negative	False	ac	train
Q02884	Saccharomyces cerevisiae	Fungi	456		negative	False	ad	train
Q03071	Saccharomyces cerevisiae	Fungi	99		negative	False	aa	bench
Q03081	Saccharomyces cerevisiae	Fungi	177		negative	False	aa	train
Q07139	Mus musculus	Metazoa	913		negative	False	aa	train
Q08887	Saccharomyces cerevisiae	Fungi	554		negative	False	ab	bench
Q10740	Saccharomyces cerevisiae	Fungi	671		negative	False	ad	train
Q12094	Saccharomyces cerevisiae	Fungi	313		negative	False	ae	bench
Q12440	Saccharomyces cerevisiae	Fungi	853		negative	False	ab	train
Q19969	Caenorhabditis elegans	Metazoa	514		negative	False	ab	bench
Q3E772	Saccharomyces cerevisiae	Fungi	92		negative	False	aa	train
Q3U4H6	Mus musculus	Metazoa	486		negative	False	ad	train
Q3U8K7	Mus musculus	Metazoa	883		negative	False	aa	train
Q5NCQ5	Mus musculus	Metazoa	438		negative	False	ac	bench
Q61823	Mus musculus	Metazoa	469		negative	False	ab	train
Q69Z66	Mus musculus	Metazoa	819		negative	False	ac	bench
Q6AVI1	Oryza sativa subsp. japonica	Viridiplantae	227		negative	False	ae	train
Q6EPW7	Oryza sativa subsp. japonica	Viridiplantae	233		negative	False	ad	train
Q6IDB6	Arabidopsis thaliana	Viridiplantae	182		negative	False	ac	train
Q6NPS8	Arabidopsis thaliana	Viridiplantae	623		negative	False	ae	train
Q6VY05	Mus musculus	Metazoa	352		negative	False	ad	bench
Q802Y8	Danio rerio	Metazoa	671		negative	False	ab	bench
Q84WV6	Arabidopsis thaliana	Viridiplantae	635		negative	False	ae	train
Q86NP2	Drosophila melanogaster	Metazoa	1251		negative	False	ad	train
Q8BKC5	Mus musculus	Metazoa	1097		negative	False	ac	bench
Q8C551	Mus musculus	Metazoa	337		negative	False	ae	train
Q8C8N2	Mus musculus	Metazoa	606		negative	False	ab	train
Q8C9B9	Mus musculus	Metazoa	2256		negative	False	aa	train
Q8C9X6	Mus musculus	Metazoa	813		negative	False	ab	train
Q8GXJ1	Arabidopsis thaliana	Viridiplantae	552		negative	False	ac	train
Q8K4J6	Mus musculus	Metazoa	964		negative	False	aa	train
Q8K585	Rattus norvegicus	Metazoa	107		negative	False	ad	train
Q8QZY3	Mus musculus	Metazoa	150		negative	False	aa	train
Q8RWE8	Arabidopsis thaliana	Viridiplantae	442		negative	False	ac	train
Q8VEK3	Mus musculus	Metazoa	800		negative	False	aa	train
Q921E6	Mus musculus	Metazoa	441		negative	False	ae	train
Q922B6	Mus musculus	Metazoa	594		negative	False	ad	train
Q923D5	Mus musculus	Metazoa	641		negative	False	ae	bench
Q924K8	Mus musculus	Metazoa	591		negative	False	ab	train
Q93WE4	Arabidopsis thaliana	Viridiplantae	216		negative	False	ab	train
Q94545	Drosophila melanogaster	Metazoa	556		negative	False	ac	bench
Q94BN0	Arabidopsis thaliana	Viridiplantae	364		negative	False	ad	train
Q94BU8	Arabidopsis thaliana	Viridiplantae	185		negative	False	ad	train
Q94CV1	Oryza sativa subsp. japonica	Viridiplantae	228		negative	False	ae	train
Q9C5Z3	Arabidopsis thaliana	Viridiplantae	441		negative	False	ad	train
Q9CR14	Mus musculus	Metazoa	375		negative	False	ad	train
Q9DCR4	Mus musculus	Metazoa	169		negative	False	ac	train
Q9EPA7	Mus musculus	Metazoa	285		negative	False	aa	train
Q9FVU9	Arabidopsis thaliana	Viridiplantae	358		negative	False	ab	train
Q9JJN6	Mus musculus	Metazoa	81		negative	False	ac	bench
Q9LG26	Arabidopsis thaliana	Viridiplantae	689		negative	False	ab	train
Q9LGE3	Oryza sativa subsp. japonica	Viridiplantae	109		negative	False	ae	train
Q9LSD0	Arabidopsis thaliana	Viridiplantae	332		negative	False	aa	train
Q9LTQ0	Arabidopsis thaliana	Viridiplantae	391		negative	False	ad	train
Q9NAD6	Caenorhabditis elegans	Metazoa	706		negative	False	ae	train
Q9QXV1	Mus musculus	Metazoa	362		negative	False	ad	bench
Q9QY24	Mus musculus	Metazoa	411		negative	False	ac	train
Q9QYK3	Rattus norvegicus	Metazoa	287		negative	False	ab	train
Q9QZQ8	Mus musculus	Metazoa	369		negative	False	ab	train
Q9R1P0	Mus musculus	Metazoa	261		negative	False	ac	train
Q9V4Z9	Drosophila melanogaster	Metazoa	858		negative	False	ab	bench
Q9VD44	Drosophila melanogaster	Metazoa	1364		negative	False	ad	train
Q9VEC1	Drosophila melanogaster	Metazoa	642		negative	False	ab	train
Q9VGA4	Drosophila melanogaster	Metazoa	1169		negative	False	ad	train
Q9VPT4	Drosophila melanogaster	Metazoa	717		negative	False	aa	train
Q9VQ89	Drosophila melanogaster	Metazoa	867		negative	False	aa	train
Q9VT00	Drosophila melanogaster	Metazoa	2351		negative	False	aa	train
Q9WTJ6	Mus musculus	Metazoa	475		negative	False	ad	train
Q9WUU9	Mus musculus	Metazoa	1971		negative	False	ac	train
Q9Z1T5	Mus musculus	Metazoa	566		negative	False	ad	train
Q9Z2A5	Mus musculus	Metazoa	516		negative	False	ae	train
Q9R037	Rattus norvegicus	Metazoa	908		negative	False	ae	train
J9VE33	Cryptococcus neoformans var. grubii serotype A	Fungi	1094		negative	False	ab	train
Q75WF1	Vanrija humicola	Fungi	370		negative	False	ab	train
A2A884	Mus musculus	Metazoa	2348		negative	False	ae	bench
B1ASB6	Mus musculus	Metazoa	1015		negative	False	ae	train
D3Z3K2	Mus musculus	Metazoa	276		negative	False	ad	bench
F4K933	Arabidopsis thaliana	Viridiplantae	483		negative	False	ad	train
G5ED29	Caenorhabditis elegans	Metazoa	959		negative	False	ad	train
G5EEV2	Caenorhabditis elegans	Metazoa	4062		negative	False	aa	bench
G5EGE9	Caenorhabditis elegans	Metazoa	1263		negative	False	ad	train
I6PL68	Oryza sativa subsp. japonica	Viridiplantae	303		negative	False	aa	train
O00910	Dictyostelium discoideum	Other	707		negative	False	aa	train
O18017	Caenorhabditis elegans	Metazoa	988		negative	False	ad	train
O35253	Mus musculus	Metazoa	426		negative	False	ad	train
P09119	Saccharomyces cerevisiae	Fungi	513		negative	False	ae	train
P14736	Saccharomyces cerevisiae	Fungi	754		negative	False	ab	train
P19426	Mus musculus	Metazoa	375		negative	False	ac	bench
P23249	Mus musculus	Metazoa	1004		negative	False	ac	train
P25451	Saccharomyces cerevisiae	Fungi	205		negative	False	ae	train
P26321	Saccharomyces cerevisiae	Fungi	297		negative	False	ac	train
P28005	Saccharomyces cerevisiae	Fungi	173		negative	False	ae	bench
P33307	Saccharomyces cerevisiae	Fungi	960		negative	False	ac	train
P33400	Saccharomyces cerevisiae	Fungi	625		negative	False	ae	train
P34447	Caenorhabditis elegans	Metazoa	867		negative	False	ae	train
P34708	Caenorhabditis elegans	Metazoa	1110		negative	False	aa	train
P35639	Mus musculus	Metazoa	168		negative	False	ae	train
P36088	Saccharomyces cerevisiae	Fungi	180		negative	False	ae	train
P38237	Saccharomyces cerevisiae	Fungi	781		negative	False	ad	train
P38710	Saccharomyces cerevisiae	Fungi	295		negative	False	ab	bench
P38874	Saccharomyces cerevisiae	Fungi	309		negative	False	ab	train
P39689	Mus musculus	Metazoa	159		negative	False	ad	bench
P40084	Saccharomyces cerevisiae	Fungi	226		negative	False	ac	train
P40465	Saccharomyces cerevisiae	Fungi	213		negative	False	ac	train
P40917	Saccharomyces cerevisiae	Fungi	295		negative	False	ae	train
P41073	Drosophila melanogaster	Metazoa	716		negative	False	aa	train
P47119	Saccharomyces cerevisiae	Fungi	197		negative	False	ad	train
P52792	Mus musculus	Metazoa	465		negative	False	ae	train
P53032	Saccharomyces cerevisiae	Fungi	299		negative	False	ae	train
P53061	Saccharomyces cerevisiae	Fungi	704		negative	False	ae	train
P53165	Saccharomyces cerevisiae	Fungi	657		negative	False	ac	bench
P53196	Saccharomyces cerevisiae	Fungi	417		negative	False	ac	train
P53930	Saccharomyces cerevisiae	Fungi	226		negative	False	ae	bench
P53942	Saccharomyces cerevisiae	Fungi	307		negative	False	ae	train
P56280	Mus musculus	Metazoa	116		negative	False	ad	train
P57080	Mus musculus	Metazoa	1055		negative	False	ad	train
P57741	Arabidopsis thaliana	Viridiplantae	195		negative	False	ab	bench
P70331	Mus musculus	Metazoa	251		negative	False	ae	train
P91277	Caenorhabditis elegans	Metazoa	397		negative	False	ab	train
P94077	Arabidopsis thaliana	Viridiplantae	189		negative	False	ae	train
P98149	Drosophila melanogaster	Metazoa	667		negative	False	ac	train
Q01593	Arabidopsis thaliana	Viridiplantae	720		negative	False	ab	train
Q02046	Saccharomyces cerevisiae	Fungi	320		negative	False	ac	train
Q02890	Saccharomyces cerevisiae	Fungi	363		negative	False	ae	train
Q03533	Saccharomyces cerevisiae	Fungi	586		negative	False	ac	bench
Q04894	Saccharomyces cerevisiae	Fungi	360		negative	False	ac	train
Q05979	Saccharomyces cerevisiae	Fungi	453		negative	False	ac	train
Q06340	Saccharomyces cerevisiae	Fungi	456		negative	False	aa	train
Q06411	Saccharomyces cerevisiae	Fungi	708		negative	False	ac	train
Q06596	Saccharomyces cerevisiae	Fungi	294		negative	False	aa	bench
Q07243	Mus musculus	Metazoa	675		negative	False	aa	train
Q07923	Saccharomyces cerevisiae	Fungi	191		negative	False	ae	bench
Q0JFZ0	Oryza sativa subsp. japonica	Viridiplantae	247		negative	False	aa	bench
Q0WPF2	Arabidopsis thaliana	Viridiplantae	808		negative	False	ac	train
Q10666	Caenorhabditis elegans	Metazoa	438		negative	False	ae	train
Q12033	Saccharomyces cerevisiae	Fungi	661		negative	False	ab	train
Q12363	Saccharomyces cerevisiae	Fungi	437		negative	False	aa	train
Q12383	Saccharomyces cerevisiae	Fungi	476		negative	False	aa	bench
Q12509	Saccharomyces cerevisiae	Fungi	438		negative	False	aa	bench
Q12513	Saccharomyces cerevisiae	Fungi	150		negative	False	ab	train
Q12530	Saccharomyces cerevisiae	Fungi	201		negative	True	ac	train
Q20977	Caenorhabditis elegans	Metazoa	567		negative	False	aa	bench
Q22557	Caenorhabditis elegans	Metazoa	368		negative	False	ab	train
Q22707	Caenorhabditis elegans	Metazoa	233		negative	False	ab	train
Q23590	Caenorhabditis elegans	Metazoa	1390		negative	False	ac	bench
Q24459	Drosophila melanogaster	Metazoa	1043		negative	False	ab	bench
Q3E840	Saccharomyces cerevisiae	Fungi	82		negative	False	ab	train
Q3TYA6	Mus musculus	Metazoa	858		negative	False	ab	bench
Q53JF7	Oryza sativa subsp. japonica	Viridiplantae	138		negative	False	aa	train
Q5BLX8	Rattus norvegicus	Metazoa	315		negative	False	ae	train
Q5XJV7	Mus musculus	Metazoa	1441		negative	False	ad	bench
Q5Z807	Oryza sativa subsp. japonica	Viridiplantae	390		negative	False	ae	bench
Q60864	Mus musculus	Metazoa	543		negative	False	ad	train
Q65ZG8	Caenorhabditis elegans	Metazoa	597		negative	False	ae	train
Q6IR42	Mus musculus	Metazoa	630		negative	False	ab	bench
Q6KCD5	Mus musculus	Metazoa	2798		negative	False	ab	train
Q6PCM1	Mus musculus	Metazoa	1323		negative	False	ab	train
Q7TNS8	Mus musculus	Metazoa	369		negative	False	ac	train
Q7XI96	Oryza sativa subsp. japonica	Viridiplantae	298		negative	False	ab	train
Q7XK25	Oryza sativa subsp. japonica	Viridiplantae	475		negative	False	ac	train
Q80TS7	Mus musculus	Metazoa	710		negative	False	aa	train
Q86MD3	Caenorhabditis elegans	Metazoa	509		negative	False	ab	train
Q8BKT7	Mus musculus	Metazoa	683		negative	False	ad	bench
Q8K3Y6	Rattus norvegicus	Metazoa	776		negative	False	ad	train
Q8VDS3	Mus musculus	Metazoa	158		negative	False	ad	train
Q93092	Mus musculus	Metazoa	337		negative	False	ae	train
Q94521	Drosophila melanogaster	Metazoa	275		negative	False	ae	train
Q945P1	Arabidopsis thaliana	Viridiplantae	317		negative	False	ad	train
Q96EQ9	Mus musculus	Metazoa	843		negative	False	ac	train
Q99MV7	Mus musculus	Metazoa	1640		negative	False	aa	train
Q99PU7	Mus musculus	Metazoa	728		negative	False	ae	train
Q9CQT7	Mus musculus	Metazoa	168		negative	False	ae	train
Q9CUU3	Mus musculus	Metazoa	1500		negative	False	aa	train
Q9D489	Mus musculus	Metazoa	467		negative	False	ac	bench
Q9DBG9	Mus musculus	Metazoa	124		negative	False	ab	train
Q9DC04	Mus musculus	Metazoa	966		negative	False	ac	train
Q9EPL8	Mus musculus	Metazoa	1038		negative	False	ae	train
Q9EQ28	Mus musculus	Metazoa	462		negative	False	ae	bench
Q9EQ80	Mus musculus	Metazoa	376		negative	False	ae	train
Q9ESC8	Mus musculus	Metazoa	1160		negative	False	ab	bench
Q9FGQ9	Arabidopsis thaliana	Viridiplantae	177		negative	False	ac	train
Q9FNY2	Arabidopsis thaliana	Viridiplantae	385		negative	False	ae	bench
Q9FQ09	Arabidopsis thaliana	Viridiplantae	680		negative	False	ae	bench
Q9M0V3	Arabidopsis thaliana	Viridiplantae	1088		negative	False	ac	train
Q9M1I7	Arabidopsis thaliana	Viridiplantae	467		negative	False	ac	train
Q9M4B5	Arabidopsis thaliana	Viridiplantae	129		negative	False	aa	bench
Q9M8K7	Arabidopsis thaliana	Viridiplantae	167		negative	False	aa	bench
Q9M8S7	Arabidopsis thaliana	Viridiplantae	313		negative	False	ab	train
Q9QX98	Mus musculus	Metazoa	324		negative	False	ac	train
Q9QYE3	Mus musculus	Metazoa	835		negative	False	ad	train
Q9R1T5	Rattus norvegicus	Metazoa	312		negative	False	ab	bench
Q9SJF1	Arabidopsis thaliana	Viridiplantae	589		negative	False	ae	train
Q9SUT5	Arabidopsis thaliana	Viridiplantae	358		negative	False	ad	bench
Q9SZI2	Arabidopsis thaliana	Viridiplantae	372		negative	False	ab	train
Q9U2M1	Caenorhabditis elegans	Metazoa	1499		negative	False	ac	train
Q9VFK6	Drosophila melanogaster	Metazoa	691		negative	False	aa	bench
Q9W4N2	Drosophila melanogaster	Metazoa	788		negative	False	ac	train
Q9WTK2	Mus musculus	Metazoa	593		negative	False	ab	train
Q9WVH3	Mus musculus	Metazoa	505		negative	False	ab	train
Q9XIP2	Arabidopsis thaliana	Viridiplantae	505		negative	False	ac	train
Q9ZU51	Arabidopsis thaliana	Viridiplantae	147		negative	False	ab	train
X5HYT8	Oryza sativa subsp. japonica	Viridiplantae	425		negative	False	aa	bench
O55022	Mus musculus	Metazoa	195		negative	True	ab	train
A0A0K3AUE4	Caenorhabditis elegans	Metazoa	1968		negative	False	ac	train
A7DTF0	Caenorhabditis elegans	Metazoa	337		negative	False	ae	train
A7UL74	Arabidopsis thaliana	Viridiplantae	345		negative	False	ad	train
A9LNK9	Arabidopsis thaliana	Viridiplantae	631		negative	False	ad	train
F4HXU3	Arabidopsis thaliana	Viridiplantae	142		negative	False	ad	train
F4IHS2	Arabidopsis thaliana	Viridiplantae	3574		negative	False	ac	train
F4KH86	Arabidopsis thaliana	Viridiplantae	400		negative	False	ae	train
G5EDE2	Caenorhabditis elegans	Metazoa	175		negative	False	ab	train
H2KYU6	Caenorhabditis elegans	Metazoa	529		negative	False	ac	train
O61707	Caenorhabditis elegans	Metazoa	523		negative	False	ac	train
O70361	Mus musculus	Metazoa	1113		negative	False	ad	train
O82265	Arabidopsis thaliana	Viridiplantae	1098		negative	False	ab	train
P06100	Saccharomyces cerevisiae	Fungi	191		negative	False	ac	train
P07978	Mus musculus	Metazoa	107		negative	False	aa	train
P08970	Drosophila melanogaster	Metazoa	941		negative	False	ac	bench
P09959	Saccharomyces cerevisiae	Fungi	803		negative	False	aa	train
P12904	Saccharomyces cerevisiae	Fungi	322		negative	False	ae	train
P16467	Saccharomyces cerevisiae	Fungi	563		negative	False	ae	train
P16550	Saccharomyces cerevisiae	Fungi	321		negative	False	ad	train
P17883	Saccharomyces cerevisiae	Fungi	1432		negative	False	ab	train
P20659	Drosophila melanogaster	Metazoa	3726		negative	False	aa	train
P24349	Caenorhabditis elegans	Metazoa	1201		negative	False	ac	train
P24482	Saccharomyces cerevisiae	Fungi	689		negative	False	aa	train
P24813	Saccharomyces cerevisiae	Fungi	409		negative	False	ae	train
P24867	Saccharomyces cerevisiae	Fungi	279		negative	False	ac	train
P25364	Saccharomyces cerevisiae	Fungi	564		negative	False	ae	bench
P25637	Saccharomyces cerevisiae	Fungi	258		negative	False	ac	train
P26017	Drosophila melanogaster	Metazoa	390		negative	False	ac	train
P31385	Saccharomyces cerevisiae	Fungi	405		negative	False	ab	train
P31539	Saccharomyces cerevisiae	Fungi	908		negative	False	ad	train
P32349	Saccharomyces cerevisiae	Fungi	654		negative	False	ad	bench
P32505	Saccharomyces cerevisiae	Fungi	525		negative	False	aa	train
P32862	Saccharomyces cerevisiae	Fungi	1170		negative	False	ad	train
P34219	Saccharomyces cerevisiae	Fungi	525		negative	False	ab	train
P34440	Caenorhabditis elegans	Metazoa	261		negative	False	ab	train
P36136	Saccharomyces cerevisiae	Fungi	271		negative	False	ab	bench
P38140	Saccharomyces cerevisiae	Fungi	529		negative	False	aa	train
P38285	Saccharomyces cerevisiae	Fungi	549		negative	False	ac	train
P38637	Saccharomyces cerevisiae	Fungi	319		negative	False	ac	bench
P39683	Saccharomyces cerevisiae	Fungi	429		negative	False	ad	bench
P40028	Saccharomyces cerevisiae	Fungi	759		negative	False	ae	train
P40063	Saccharomyces cerevisiae	Fungi	208		negative	False	ae	bench
P40106	Saccharomyces cerevisiae	Fungi	250		negative	False	ad	train
P40208	Saccharomyces cerevisiae	Fungi	455		negative	False	ab	train
P40316	Saccharomyces cerevisiae	Fungi	373		negative	False	ab	train
P40506	Saccharomyces cerevisiae	Fungi	365		negative	False	ab	train
P40573	Saccharomyces cerevisiae	Fungi	187		negative	False	ad	train
P42935	Saccharomyces cerevisiae	Fungi	788		negative	False	ad	train
P45432	Arabidopsis thaliana	Viridiplantae	441		negative	False	ab	train
P47116	Saccharomyces cerevisiae	Fungi	818		negative	False	ad	train
P47120	Saccharomyces cerevisiae	Fungi	325		negative	False	ad	bench
P47171	Saccharomyces cerevisiae	Fungi	1648		negative	False	ad	train
P53068	Saccharomyces cerevisiae	Fungi	250		negative	False	aa	train
P53207	Saccharomyces cerevisiae	Fungi	620		negative	False	ae	train
P53909	Saccharomyces cerevisiae	Fungi	347		negative	False	ab	bench
P53968	Saccharomyces cerevisiae	Fungi	678		negative	False	ae	train
P61459	Rattus norvegicus	Metazoa	104		negative	False	ab	bench
P62908	Mus musculus	Metazoa	243		negative	False	ac	train
P70670	Mus musculus	Metazoa	2187		negative	False	aa	train
Q01448	Saccharomyces cerevisiae	Fungi	625		negative	False	ac	train
Q02606	Saccharomyces cerevisiae	Fungi	381		negative	False	ae	train
Q03654	Saccharomyces cerevisiae	Fungi	590		negative	False	aa	train
Q03825	Saccharomyces cerevisiae	Fungi	758		negative	False	ac	train
Q03862	Saccharomyces cerevisiae	Fungi	593		negative	False	ae	train
Q04377	Saccharomyces cerevisiae	Fungi	747		negative	False	ae	train
Q04430	Saccharomyces cerevisiae	Fungi	367		negative	False	ab	train
Q04891	Mus musculus	Metazoa	613		negative	False	ad	train
Q05016	Saccharomyces cerevisiae	Fungi	267		negative	False	ac	train
Q06032	Saccharomyces cerevisiae	Fungi	482		negative	False	ab	train
Q06188	Saccharomyces cerevisiae	Fungi	304		negative	False	ae	train
Q06706	Saccharomyces cerevisiae	Fungi	1349		negative	False	ac	train
Q07938	Saccharomyces cerevisiae	Fungi	337		negative	False	aa	train
Q08605	Drosophila melanogaster	Metazoa	581		negative	False	ac	train
Q08949	Saccharomyces cerevisiae	Fungi	612		negative	False	ae	train
Q08985	Saccharomyces cerevisiae	Fungi	325		negative	False	ae	bench
Q12018	Saccharomyces cerevisiae	Fungi	815		negative	False	ab	bench
Q12098	Saccharomyces cerevisiae	Fungi	748		negative	False	ac	train
Q12341	Saccharomyces cerevisiae	Fungi	374		negative	False	aa	bench
Q12734	Saccharomyces cerevisiae	Fungi	1121		negative	False	ad	train
Q12749	Saccharomyces cerevisiae	Fungi	1114		negative	False	aa	bench
Q17569	Caenorhabditis elegans	Metazoa	389		negative	False	ae	train
Q18490	Caenorhabditis elegans	Metazoa	142		negative	False	ab	bench
Q21986	Caenorhabditis elegans	Metazoa	958		negative	False	aa	train
Q4VBD9	Mus musculus	Metazoa	706		negative	False	ac	bench
Q5LJZ2	Drosophila melanogaster	Metazoa	1641		negative	False	ae	train
Q5SRY7	Mus musculus	Metazoa	542		negative	False	ac	train
Q5YDB5	Arabidopsis thaliana	Viridiplantae	770		negative	False	ad	train
Q60676	Mus musculus	Metazoa	499		negative	False	ae	bench
Q61471	Mus musculus	Metazoa	362		negative	False	aa	train
Q64471	Mus musculus	Metazoa	240		negative	False	ad	train
Q6ID70	Arabidopsis thaliana	Viridiplantae	150		negative	False	ab	train
Q6R0G4	Arabidopsis thaliana	Viridiplantae	293		negative	False	ab	train
Q7FZF1	Arabidopsis thaliana	Viridiplantae	203		negative	False	ae	bench
Q7K4M4	Drosophila melanogaster	Metazoa	649		negative	False	ac	bench
Q80TR8	Mus musculus	Metazoa	1506		negative	False	ae	train
Q80Z29	Rattus norvegicus	Metazoa	491		negative	False	ae	train
Q86B87	Drosophila melanogaster	Metazoa	610		negative	False	ae	train
Q8BL80	Mus musculus	Metazoa	702		negative	False	aa	train
Q8BVN9	Mus musculus	Metazoa	434		negative	False	ae	train
Q8BVZ5	Mus musculus	Metazoa	266		negative	False	ad	bench
Q8GTS1	Arabidopsis thaliana	Viridiplantae	227		negative	False	aa	train
Q8IQG1	Drosophila melanogaster	Metazoa	566		negative	False	aa	bench
Q8K339	Mus musculus	Metazoa	391		negative	False	ac	train
Q8LGJ5	Arabidopsis thaliana	Viridiplantae	276		negative	False	ac	bench
Q8RWS0	Arabidopsis thaliana	Viridiplantae	124		negative	False	ad	train
Q8RY71	Arabidopsis thaliana	Viridiplantae	341		negative	False	aa	train
Q8VIJ5	Rattus norvegicus	Metazoa	916		negative	False	ae	train
Q91X84	Mus musculus	Metazoa	619		negative	False	ae	train
Q923B3	Mus musculus	Metazoa	828		negative	False	ad	bench
Q95QD7	Caenorhabditis elegans	Metazoa	435		negative	False	ae	train
Q99321	Saccharomyces cerevisiae	Fungi	188		negative	False	aa	train
Q99MY0	Mus musculus	Metazoa	378		negative	False	ab	train
Q9D1M4	Mus musculus	Metazoa	174		negative	False	ab	train
Q9EQW6	Mus musculus	Metazoa	323		negative	False	ae	train
Q9ERV1	Mus musculus	Metazoa	416		negative	False	ae	bench
Q9ESJ7	Mus musculus	Metazoa	259		negative	False	ad	train
Q9FPS9	Arabidopsis thaliana	Viridiplantae	924		negative	False	ac	train
Q9GRZ3	Caenorhabditis elegans	Metazoa	1641		negative	False	ad	train
Q9JIB0	Mus musculus	Metazoa	185		negative	False	ad	train
Q9LMJ4	Arabidopsis thaliana	Viridiplantae	599		negative	False	ad	train
Q9SAL0	Arabidopsis thaliana	Viridiplantae	401		negative	False	ab	train
Q9SLB9	Arabidopsis thaliana	Viridiplantae	450		negative	False	aa	train
Q9VH08	Drosophila melanogaster	Metazoa	317		negative	False	ae	train
Q9VL14	Drosophila melanogaster	Metazoa	118		negative	False	ae	train
Q9W3M3	Drosophila melanogaster	Metazoa	2219		negative	False	aa	train
Q9WVE0	Mus musculus	Metazoa	198		negative	False	ae	train
P07246	Saccharomyces cerevisiae	Fungi	375		negative	False	ad	bench
P21957	Saccharomyces cerevisiae	Fungi	404		negative	False	ad	train
P32767	Saccharomyces cerevisiae	Fungi	1081		negative	False	ab	train
Q08231	Saccharomyces cerevisiae	Fungi	455		negative	False	ab	train
Q20924	Caenorhabditis elegans	Metazoa	473		negative	False	ae	train
P36877	Rattus norvegicus	Metazoa	443		negative	False	aa	train
Q9VBX1	Drosophila melanogaster	Metazoa	992		negative	False	aa	bench
D9PTN5	Caenorhabditis elegans	Metazoa	1009		negative	False	ac	train
A0A140LI88	Mus musculus	Metazoa	1857		negative	False	ae	train
A2AG06	Mus musculus	Metazoa	965		negative	False	aa	train
C8KI33	Arabidopsis thaliana	Viridiplantae	646		negative	False	ab	train
E9Q5F9	Mus musculus	Metazoa	2537		negative	False	ab	train
F4KHI3	Arabidopsis thaliana	Viridiplantae	1168		negative	False	ae	train
F8VPN2	Mus musculus	Metazoa	2785		negative	False	aa	train
O08573	Mus musculus	Metazoa	353		negative	False	ab	train
O08759	Mus musculus	Metazoa	870		negative	False	ad	train
O13563	Saccharomyces cerevisiae	Fungi	156		negative	False	ab	train
O22287	Arabidopsis thaliana	Viridiplantae	361		negative	False	ae	bench
O35260	Rattus norvegicus	Metazoa	514		negative	False	ab	train
O88873	Rattus norvegicus	Metazoa	529		negative	False	ac	bench
P07270	Saccharomyces cerevisiae	Fungi	312		negative	False	ab	train
P08153	Saccharomyces cerevisiae	Fungi	709		negative	False	ab	train
P08458	Saccharomyces cerevisiae	Fungi	490		negative	False	ab	train
P10664	Saccharomyces cerevisiae	Fungi	362		negative	False	ab	train
P13405	Mus musculus	Metazoa	921		negative	False	ae	train
P17442	Saccharomyces cerevisiae	Fungi	1178		negative	False	ad	train
P19889	Drosophila melanogaster	Metazoa	317		negative	False	ab	train
P22293	Drosophila melanogaster	Metazoa	1325		negative	False	ac	train
P23503	Saccharomyces cerevisiae	Fungi	491		negative	False	ac	bench
P24309	Saccharomyces cerevisiae	Fungi	405		negative	False	ac	train
P25043	Saccharomyces cerevisiae	Fungi	261		negative	False	ad	train
P29461	Saccharomyces cerevisiae	Fungi	750		negative	False	ad	train
P31111	Saccharomyces cerevisiae	Fungi	875		negative	False	ae	train
P32480	Saccharomyces cerevisiae	Fungi	875		negative	False	ad	train
P34078	Saccharomyces cerevisiae	Fungi	463		negative	False	aa	bench
P34706	Caenorhabditis elegans	Metazoa	2150		negative	False	ad	train
P36068	Saccharomyces cerevisiae	Fungi	246		negative	False	ab	bench
P36421	Saccharomyces cerevisiae	Fungi	394		negative	False	ab	bench
P38628	Saccharomyces cerevisiae	Fungi	557		negative	False	aa	train
P38768	Saccharomyces cerevisiae	Fungi	344		negative	False	ab	bench
P38827	Saccharomyces cerevisiae	Fungi	1080		negative	False	ad	train
P39979	Saccharomyces cerevisiae	Fungi	161		negative	False	ac	train
P40161	Saccharomyces cerevisiae	Fungi	455		negative	False	ab	bench
P40547	Saccharomyces cerevisiae	Fungi	921		negative	False	aa	bench
P41812	Saccharomyces cerevisiae	Fungi	875		negative	False	ae	train
P41920	Saccharomyces cerevisiae	Fungi	201		negative	False	ab	train
P42731	Arabidopsis thaliana	Viridiplantae	629		negative	False	ac	bench
P43583	Saccharomyces cerevisiae	Fungi	2143		negative	False	ac	train
