Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q52085	reviewed	GP64_HETPA	Cell-cell adhesion glycoprotein 64 (Gp64) (Contact site 1)	gp64 c-p644	Heterostelium pallidum (Cellular slime mold) (Polysphondylium pallidum)	320
Q53B58	reviewed	3L255_OPHHA	Alpha-elapitoxin-Oh3a (CM-11) (Long neurotoxin OH-55)		Ophiophagus hannah (King cobra) (Naja hannah)	93
Q556R7	reviewed	CF50_DICDI	Counting factor 50 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase 1) (GH family 25 lysozyme 1)	cf50-1 DDB_G0273175; cf50-2 DDB_G0273875	Dictyostelium discoideum (Social amoeba)	303
Q55P57	reviewed	LAC1_CRYNB	Laccase-1 (EC 1.10.3.2) (Diphenol oxidase 1)	LAC1 CNBG3550	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans)	624
Q55U20	reviewed	CDA2_CRYNB	Chitin deacetylase 2 (EC 3.5.1.41)	CDA2 MP98 CNBD2840	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) (Filobasidiella neoformans)	458
Q59XX2	reviewed	MP65_CANAL	Cell surface mannoprotein MP65 (EC 3.2.1.-) (Mannoprotein of 65 kDa) (Soluble cell wall protein 10)	MP65 CMP65 SCW1 SCW10 CAALFM_C210030CA CaO19.1779 CaO19.9345	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	378
Q59Y31	reviewed	YWP1_CANAL	Yeast-form wall Protein 1 (GPI-anchored protein 24) (Thiol-extractable peptide 1) (flocculation protein 1)	YWP1 FLO1 PGA24 TEP1 CAALFM_C208590WA CaO19.11101 CaO19.3618	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	533
Q5AMT2	reviewed	BGL2_CANAL	Glucan 1,3-beta-glucosidase BGL2 (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	BGL2 BGL21 CAALFM_C402250CA CaO19.12034 CaO19.4565	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	308
Q5B1W7	reviewed	AA13_EMENI	AA13 family lytic polysaccharide monooxygenase aasA (LPMO13 aasA) (EC 1.14.99.55)	aasA AA13 ANIA_05463	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	385
Q5ECE3	reviewed	LOPAP_LONON	Lopap (EC 3.4.21.-) (Lipocalin-1/4) (Prothrombin activator)		Lonomia obliqua (Moth)	201
Q5I0E7	reviewed	TMED9_RAT	Transmembrane emp24 domain-containing protein 9 (p24 family protein alpha-2) (p24alpha2)	Tmed9	Rattus norvegicus (Rat)	235
Q5U9S1	reviewed	MBL1_PIG	Mannose-binding protein A (MBP-A) (28 kDa mannan-binding protein monomeric subunit) (pMBP-28) (Mannan-binding lectin A) (MBL-A) (Mannose-binding lectin A)	MBL1 MBL-A	Sus scrofa (Pig)	249
Q5UCC4	reviewed	EMC10_HUMAN	ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)	EMC10 C19orf63 INM02 UNQ764/PRO1556	Homo sapiens (Human)	262
Q5XM24	reviewed	APRA_DICDI	Autocrine proliferation repressor protein A (PhoPQ-activated pathogenicity-related protein)	aprA DDB_G0281663	Dictyostelium discoideum (Social amoeba)	494
Q5ZPR3	reviewed	CD276_HUMAN	CD276 antigen (4Ig-B7-H3) (B7 homolog 3) (B7-H3) (Costimulatory molecule) (CD antigen CD276)	CD276 B7H3 PSEC0249 UNQ309/PRO352	Homo sapiens (Human)	534
Q60557	reviewed	OVGP1_MESAU	Oviduct-specific glycoprotein (Estrogen-dependent oviduct protein) (Oviductal glycoprotein) (Oviductin) (ZP-0)	OVGP1 OGP	Mesocricetus auratus (Golden hamster)	671
Q60675	reviewed	LAMA2_MOUSE	Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain)	Lama2	Mus musculus (Mouse)	3118
Q60736	reviewed	ZP3R_MOUSE	Zona pellucida sperm-binding protein 3 receptor (Sperm fertilization protein 56) (sp56)	Zp3r Sp56	Mus musculus (Mouse)	579
Q60994	reviewed	ADIPO_MOUSE	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipocyte-specific protein AdipoQ)	Adipoq Acdc Acrp30 Apm1	Mus musculus (Mouse)	247
Q61001	reviewed	LAMA5_MOUSE	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	Lama5	Mus musculus (Mouse)	3718
Q61247	reviewed	A2AP_MOUSE	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	Serpinf2 Pli	Mus musculus (Mouse)	491
Q61450	reviewed	LRB4B_MOUSE	Leukocyte immunoglobulin-like receptor subfamily B member 4B (Mast cell surface glycoprotein Gp49A)	Lilrb4b Gp49 Gp49a	Mus musculus (Mouse)	303
Q61508	reviewed	ECM1_MOUSE	Extracellular matrix protein 1 (Secretory component p85)	Ecm1	Mus musculus (Mouse)	559
Q61738	reviewed	ITA7_MOUSE	Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain]	Itga7	Mus musculus (Mouse)	1179
Q61789	reviewed	LAMA3_MOUSE	Laminin subunit alpha-3 (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)	Lama3	Mus musculus (Mouse)	3330
Q61835	reviewed	FXYD3_MOUSE	FXYD domain-containing ion transport regulator 3 (Chloride conductance inducer protein Mat-8) (Mammary tumor 8 kDa protein) (Phospholemman-like) (Sodium/potassium-transporting ATPase subunit FXYD3)	Fxyd3 Mat8 Plml	Mus musculus (Mouse)	88
Q61885	reviewed	MOG_MOUSE	Myelin-oligodendrocyte glycoprotein	Mog	Mus musculus (Mouse)	246
Q62005	reviewed	ZP1_MOUSE	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]	Zp1	Mus musculus (Mouse)	623
Q62192	reviewed	CD180_MOUSE	CD180 antigen (Lymphocyte antigen 78) (Ly-78) (Radioprotective 105 kDa protein) (CD antigen CD180)	Cd180 Ly78 Rp105	Mus musculus (Mouse)	661
Q62598	reviewed	DSPP_RAT	Dentin sialophosphoprotein [Cleaved into: Dentin phosphoprotein (Dentin phosphophoryn) (DPP); Dentin sialoprotein (DSP)]	Dspp Rdsp2	Rattus norvegicus (Rat)	687
Q62718	reviewed	NTRI_RAT	Neurotrimin (GP65)	Ntm Hnt Nt	Rattus norvegicus (Rat)	344
Q62813	reviewed	LSAMP_RAT	Limbic system-associated membrane protein (LSAMP)	Lsamp Lamp	Rattus norvegicus (Rat)	338
Q62867	reviewed	GGH_RAT	Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)	Ggh	Rattus norvegicus (Rat)	317
Q62894	reviewed	ECM1_RAT	Extracellular matrix protein 1 (Secretory component p85)	Ecm1	Rattus norvegicus (Rat)	562
Q63041	reviewed	A1M_RAT	Alpha-1-macroglobulin (Alpha-1-M) (Alpha-1-macroglobulin 165 kDa subunit) [Cleaved into: Alpha-1-macroglobulin 45 kDa subunit]	A1m Pzp	Rattus norvegicus (Rat)	1500
Q63180	reviewed	ADAM7_RAT	Disintegrin and metalloproteinase domain-containing protein 7 (ADAM 7) (Epididymal apical protein I) (EAP I)	Adam7 Eapi	Rattus norvegicus (Rat)	789
Q63345	reviewed	MOG_RAT	Myelin-oligodendrocyte glycoprotein	Mog	Rattus norvegicus (Rat)	245
Q63372	reviewed	NRX1A_RAT	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	Nrxn1	Rattus norvegicus (Rat)	1530
Q63373	reviewed	NRX1B_RAT	Neurexin-1-beta (Neurexin I-beta)	Nrxn1	Rattus norvegicus (Rat)	468
Q63376	reviewed	NRX2B_RAT	Neurexin-2-beta (Neurexin II-beta)	Nrxn2	Rattus norvegicus (Rat)	662
Q63415	reviewed	PCSK6_RAT	Proprotein convertase subtilisin/kexin type 6 (EC 3.4.21.-) (Paired basic amino acid cleaving enzyme 4) (Subtilisin-like proprotein convertase 4) (SPC4) (Subtilisin/kexin-like protease PACE4)	Pcsk6 Pace4	Rattus norvegicus (Rat)	937
Q63617	reviewed	HYOU1_RAT	Hypoxia up-regulated protein 1 (150 kDa oxygen-regulated protein) (ORP-150)	Hyou1 Hsph4 Orp150	Rattus norvegicus (Rat)	999
Q64277	reviewed	BST1_MOUSE	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Antigen BP3) (BP-3 alloantigen) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPR hydrolase 2) (Leukocyte antigen 65) (Ly-65) (CD antigen CD157)	Bst1 Bp-3 Bp3 Ly65	Mus musculus (Mouse)	311
Q64385	reviewed	I11RA_MOUSE	Interleukin-11 receptor subunit alpha-1 (IL-11 receptor subunit alpha-1) (IL-11R subunit alpha-1) (IL-11R-alpha-1) (IL-11RA1) (Enhancer trap locus homolog 2) (Etl-2) (Novel cytokine receptor 1) (NR-1) (NR1) [Cleaved into: Soluble interleukin-11 receptor subunit alpha (sIL-11R) (sIL-11RA) (sIL11RA)]	Il11ra1 Etl2 Il11ra	Mus musculus (Mouse)	432
Q64424	reviewed	LIPR2_MYOCO	Pancreatic lipase-related protein 2 (PL-RP2) (Cytotoxic T lymphocyte lipase) (Galactolipase) (EC 3.1.1.26) (Triacylglycerol lipase) (EC 3.1.1.3)	PNLIPRP2	Myocastor coypus (Coypu) (Mus coypus)	470
Q64550	reviewed	UD11_RAT	UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (B1) (UDP-glucuronosyltransferase 1-1) (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1)	Ugt1a1 Ugt1	Rattus norvegicus (Rat)	535
Q64610	reviewed	ENPP2_RAT	Autotaxin (EC 3.1.4.39) (EC 3.1.4.4) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 2) (E-NPP 2) (Extracellular lysophospholipase D) (LysoPLD)	Enpp2 Atx Npps2	Rattus norvegicus (Rat)	887
Q6DWK3	reviewed	CDA_COLLN	Chitin deacetylase (EC 3.5.1.41) (ClCDA)	CDA	Colletotrichum lindemuthianum (Bean anthracnose fungus) (Glomerella lindemuthiana)	248
Q6E0U4	reviewed	DMKN_HUMAN	Dermokine (Epidermis-specific secreted protein SK30/SK89)	DMKN UNQ729/PRO1411	Homo sapiens (Human)	476
Q6EER2	reviewed	PA2BB_SISTE	Basic phospholipase A2 sistruxin B (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Sistrurus tergeminus (Western massasauga) (Sistrurus catenatus tergeminus)	138
Q6EER4	reviewed	PA2B_BOTSC	Basic phospholipase A2 Bs-N6 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Bothriechis schlegelii (Eyelash palm pitviper)	138
Q6EH50	reviewed	RIP4_PHYHE	Heterotepalin-4 (EC 3.2.2.22) (Ribosome-inactivating protein) (rRNA N-glycosidase)	RIP1	Phytolacca heterotepala (Mexican pokeweed)	312
Q6H3C8	reviewed	PA2AF_TRIST	Acidic phospholipase A2 Ts-A6 (svPLA2) (EC 3.1.1.4) (CTs-A6) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	138
Q6H3D0	reviewed	PA2AA_TRIST	Acidic phospholipase A2 Ts-A1 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Trimeresurus stejnegeri (Chinese green tree viper) (Viridovipera stejnegeri)	138
Q6IUU3	reviewed	QSOX1_RAT	Sulfhydryl oxidase 1 (rQSOX) (rSOx) (EC 1.8.3.2) (FAD-dependent sulfhydryl oxidase-2) (SOx-2) (Quiescin Q6)	Qsox1 Qscn6 Sox2	Rattus norvegicus (Rat)	750
Q6IWZ0	reviewed	OXLA_APLCA	L-amino-acid oxidase (LAAO) (LAO) (EC 1.4.3.2) (Escapin)		Aplysia californica (California sea hare)	535
Q6J4Q1	reviewed	HEX7B_APIME	Hexamerin 70b	Hex70b 406117	Apis mellifera (Honeybee)	683
Q6JK69	reviewed	PA2H1_BOTAT	Phospholipase A2 homolog 1 (svPLA2 homolog) (Myotoxin I)		Bothrops atrox (Barba amarilla) (Fer-de-lance)	138
Q6PSU2	reviewed	CONG7_ARAHY	Conglutin-7 (2S protein 1) (Seed storage protein SSP1) (Seed storage protein SSP2) (allergen Ara h 2)		Arachis hypogaea (Peanut)	172
Q6PW77	reviewed	GOOX_SARSR	Glucooligosaccharide oxidase (GOOX) (EC 1.1.3.-)	gluO	Sarocladium strictum (Black bundle disease fungus) (Acremonium strictum)	499
Q6QD51	reviewed	CCD80_RAT	Coiled-coil domain-containing protein 80 (Down-regulated by oncogenes 1 protein) (Steroid-sensitive gene 1 protein) (SSG-1)	Ccdc80 Dro1 Ssg1	Rattus norvegicus (Rat)	949
Q6STF1	reviewed	OXLA_GLOHA	L-amino-acid oxidase (AHP-LAAO) (LAO) (EC 1.4.3.2)		Gloydius halys (Chinese water mocassin) (Agkistrodon halys)	504
Q6TGQ8	reviewed	OXLA_BOTMO	L-amino-acid oxidase BmooLAAO-I (LAO) (EC 1.4.3.2)		Bothrops moojeni (Lance-headed viper) (Caissaca)	502
Q6UW15	reviewed	REG3G_HUMAN	Regenerating islet-derived protein 3-gamma (REG-3-gamma) (Pancreatitis-associated protein 1B) (PAP-1B) (Pancreatitis-associated protein IB) (PAP IB) (Regenerating islet-derived protein III-gamma) (REG III) (Reg III-gamma) [Cleaved into: Regenerating islet-derived protein 3-gamma 16.5 kDa form; Regenerating islet-derived protein 3-gamma 15 kDa form]	REG3G PAP1B UNQ429/PRO162	Homo sapiens (Human)	175
Q6UW56	reviewed	ARAID_HUMAN	All-trans retinoic acid-induced differentiation factor (Apoptosis-related protein 3) (APR-3) (p18)	ATRAID APR3 C2orf28 HSPC013 UNQ214/PRO240	Homo sapiens (Human)	229
Q6UW88	reviewed	EPGN_HUMAN	Epigen (Epithelial mitogen) (EPG)	EPGN UNQ3072/PRO9904	Homo sapiens (Human)	154
Q6UWI2	reviewed	PARM1_HUMAN	Prostate androgen-regulated mucin-like protein 1 (PARM-1)	PARM1 UNQ1879/PRO4322	Homo sapiens (Human)	310
Q6UWK7	reviewed	GP15L_HUMAN	Protein GPR15LG (Antimicrobial peptide with 57 amino acid residues) (AP-57) (Antimicrobial peptide-57) (Colon-derived SUSD2 binding factor) (CSBF) (Protein GPR15 ligand) (Protein GPR15L) (Secreted protein C10orf99)	GPR15LG C10orf99 GPR15L UNQ1833/PRO3446	Homo sapiens (Human)	81
Q6UWL6	reviewed	KIRR2_HUMAN	Kin of IRRE-like protein 2 (Kin of irregular chiasm-like protein 2) (Nephrin-like protein 3)	KIRREL2 NEPH3 UNQ5827/PRO19646	Homo sapiens (Human)	708
Q6UWN5	reviewed	LYPD5_HUMAN	Ly6/PLAUR domain-containing protein 5	LYPD5 UNQ1908/PRO4356	Homo sapiens (Human)	251
Q6UWV6	reviewed	ENPP7_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 (E-NPP 7) (NPP-7) (EC 3.1.4.12) (Alkaline sphingomyelin phosphodiesterase) (Intestinal alkaline sphingomyelinase) (Alk-SMase)	ENPP7 UNQ3077/PRO9912	Homo sapiens (Human)	458
Q6UWY2	reviewed	PRS57_HUMAN	Serine protease 57 (EC 3.4.21.-) (Neutrophil serine protease 4) (NSP4) (Serine protease 1-like protein 1)	PRSS57 PRSSL1 UNQ782/PRO1599	Homo sapiens (Human)	283
Q6UX27	reviewed	VSTM1_HUMAN	V-set and transmembrane domain-containing protein 1 (Signal inhibitory receptor on leukocytes-1) (SIRL-1)	VSTM1 UNQ3033/PRO9835	Homo sapiens (Human)	236
Q6UX39	reviewed	AMTN_HUMAN	Amelotin	AMTN UNQ689/PRO1329	Homo sapiens (Human)	209
Q6UX41	reviewed	BTNL8_HUMAN	Butyrophilin-like protein 8	BTNL8 UNQ702/PRO1347	Homo sapiens (Human)	500
Q6UX46	reviewed	ALKL2_HUMAN	ALK and LTK ligand 2 (Augmentor alpha) (AUG-alpha)	ALKAL2 FAM150B UNQ542/PRO1097	Homo sapiens (Human)	152
Q6UXB2	reviewed	CXL17_HUMAN	C-X-C motif chemokine 17 (6-Cys CXCL17) (Dendritic cell and monocyte chemokine-like protein) (DMC) (VEGF coregulated chemokine 1) [Cleaved into: 4-Cys CXCL17]	CXCL17 VCC1 UNQ473/PRO842	Homo sapiens (Human)	119
Q6UXB8	reviewed	PI16_HUMAN	Peptidase inhibitor 16 (PI-16) (Cysteine-rich secretory protein 9) (CRISP-9) (PSP94-binding protein) (CD antigen CD364)	PI16 CRISP9 PSPBP PSEC0164 UNQ289/PRO328	Homo sapiens (Human)	463
Q6UXD5	reviewed	SE6L2_HUMAN	Seizure 6-like protein 2	SEZ6L2 PSK UNQ1903/PRO4349	Homo sapiens (Human)	910
Q6UXG3	reviewed	CLM9_HUMAN	CMRF35-like molecule 9 (CLM-9) (CD300 antigen-like family member G) (Triggering receptor expressed on myeloid cells 4) (TREM-4) (CD antigen CD300g)	CD300LG CLM9 TREM4 UNQ422/PRO846	Homo sapiens (Human)	332
Q6UXH1	reviewed	CREL2_HUMAN	Protein disulfide isomerase CRELD2 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 2)	CRELD2 UNQ185/PRO211	Homo sapiens (Human)	353
Q6UXL0	reviewed	I20RB_HUMAN	Interleukin-20 receptor subunit beta (IL-20 receptor subunit beta) (IL-20R-beta) (IL-20RB) (Fibronectin type III domain containing 6) (FNDC6) (IL-20R2)	IL20RB DIRS1 UNQ557/PRO1114	Homo sapiens (Human)	311
Q6WN34	reviewed	CRDL2_HUMAN	Chordin-like protein 2 (Breast tumor novel factor 1) (BNF-1) (Chordin-related protein 2)	CHRDL2 BNF1 CHL2 UNQ765/PRO1557	Homo sapiens (Human)	429
Q6X4U4	reviewed	SOSD1_HUMAN	Sclerostin domain-containing protein 1 (Ectodermal BMP inhibitor) (Ectodin) (Uterine sensitization-associated gene 1 protein) (USAG-1)	SOSTDC1 USAG1 CDA019	Homo sapiens (Human)	206
Q6YDN9	reviewed	XTH_BRAOB	Xyloglucan endotransglucosylase/hydrolase (EC 2.4.1.207) (BobXET16A)	XET16A	Brassica oleracea var. botrytis (Cauliflower)	295
Q6ZSA7	reviewed	LRC55_HUMAN	Leucine-rich repeat-containing protein 55 (BK channel auxiliary gamma subunit LRRC55)	LRRC55	Homo sapiens (Human)	298
Q70SU8	reviewed	SALRN_SALSA	Cystein proteinase inhibitor protein salarin (Cathepsin M)	salarin catm	Salmo salar (Atlantic salmon)	342
Q71DJ5	reviewed	LIP1_ARATH	Triacylglycerol lipase 1 (EC 3.1.1.3)	LIP1 At2g15230 F15A23.3	Arabidopsis thaliana (Mouse-ear cress)	393
Q71QE8	reviewed	PA2BN_CROVV	Basic phospholipase A2 Cvv-N6 (svPLA2) (EC 3.1.1.4) (Cvv myotoxin) (Phosphatidylcholine 2-acylhydrolase)		Crotalus viridis viridis (Prairie rattlesnake)	138
Q75N35	reviewed	DB3L_DIOPO	Dioscorin DB3L (Tuber storage protein DB3L)	DB3L	Dioscorea polystachya (Chinese yam)	272
Q76BW5	reviewed	XTH8_ORYSJ	Xyloglucan endotransglycosylase/hydrolase protein 8 (EC 2.4.1.207) (End-xyloglucan transferase) (OsXRT5) (OsXTH8)	XTH8 XRT5 Os08g0237000 LOC_Os08g13920 P0682A06.17	Oryza sativa subsp. japonica (Rice)	290
Q76IQ4	reviewed	GHRL_ONCMY	Ghrelin [Cleaved into: Ghrelin-23; Ghrelin-24]	ghrl	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	111
Q7KRU8	reviewed	FRIH_DROME	Ferritin heavy chain (EC 1.16.3.1)	Fer1HCH HCH CG2216	Drosophila melanogaster (Fruit fly)	205
Q7L513	reviewed	FCRLA_HUMAN	Fc receptor-like A (Fc receptor homolog expressed in B-cells) (Fc receptor-like and mucin-like protein 1) (Fc receptor-like protein) (Fc receptor-related protein X) (FcRX)	FCRLA FCRL FCRL1 FCRLM1 FCRX FREB UNQ291/PRO329	Homo sapiens (Human)	359
Q7SZI7	reviewed	RET3_XENLA	Retinol-binding protein 3 (Interphotoreceptor retinoid-binding protein) (IRBP) (xIRBP) (Interstitial retinol-binding protein)	rbp3	Xenopus laevis (African clawed frog)	1219
Q7SZN0	reviewed	FA5V_PSETE	Venom prothrombin activator pseutarin-C non-catalytic subunit (PCNS) (vPA) (Venom coagulation factor Va-like protein) [Cleaved into: Pseutarin-C non-catalytic subunit heavy chain; Pseutarin-C non-catalytic subunit light chain]		Pseudonaja textilis (Eastern brown snake)	1460
Q7T2R1	reviewed	PA2AA_DABSI	Acidic phospholipase A2 daboiatoxin A chain (DbTx-A) (svPLA2) (EC 3.1.1.4) (Phospholipase A2 Dsm-a1) (Phospholipase A2 inhibitor) (Phospholipase A2-III)		Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis)	138
Q7TMF5	reviewed	SPA12_MOUSE	Serpin A12 (Visceral adipose tissue-derived serine protease inhibitor) (Vaspin) (Visceral adipose-specific serpin)	Serpina12	Mus musculus (Mouse)	413
Q7TQN3	reviewed	WFKN2_MOUSE	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 (Growth and differentiation factor-associated serum protein 1) (GASP-1) (mGASP-1)	Wfikkn2 Gasp1	Mus musculus (Mouse)	571
Q7YSJ4	reviewed	PSIF_DICDI	Protein psiF (Discoidin-inducing complex subunit A)	psiF dicA dicA1 DDB_G0278581	Dictyostelium discoideum (Social amoeba)	708
Q7YXD3	reviewed	SCX8_ANDMA	Alpha-toxin Amm8 (Alpha-anatoxin Amm VIII) (Amm VIII) (AmmVIII) (Neurotoxin 8) (P4)		Androctonus mauritanicus mauritanicus (Scorpion)	85
Q7Z5A7	reviewed	TAFA5_HUMAN	Chemokine-like protein TAFA-5	TAFA5 FAM19A5 UNQ5208/PRO34524	Homo sapiens (Human)	132
Q7ZT75	reviewed	FCN1A_XENLA	Ficolin-1-A	fcn1-a	Xenopus laevis (African clawed frog)	315
Q7ZTA6	reviewed	PA2AB_CROVV	Acidic phospholipase A2 Cvv-E6b (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Crotalus viridis viridis (Prairie rattlesnake)	138
Q7ZTA7	reviewed	PA2AD_CROLY	Acidic phospholipase A2 CoaPLA2 (svPLA2) (EC 3.1.1.4) (Cvv-E6d) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 CoaTx-I)		Crotalus lutosus abyssus (Grand Canyon rattlesnake) (Crotalus oreganus abyssus)	138
Q7ZTA8	reviewed	PA2AE_CROVV	Acidic phospholipase A2 Cvv-E6e (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Crotalus viridis viridis (Prairie rattlesnake)	138
Q800C4	reviewed	PA2AA_CROVV	Acidic phospholipase A2 Cvv-E6a (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase)		Crotalus viridis viridis (Prairie rattlesnake)	138
Q805A2	reviewed	PA2BN_PROFL	Basic phospholipase A2 PLA-N (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase) (Phospholipase A2 PLA-N(O))		Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis)	138
Q805F3	reviewed	CATEA_XENLA	Cathepsin E-A (EC 3.4.23.34)	ctse-a ce1	Xenopus laevis (African clawed frog)	397
Q84UV8	reviewed	NEC3_NICLS	Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3 (EC 1.6.5.4) (EC 4.2.1.1) (Nectarin-III) [Cleaved into: Nectarin-2]	NEC3	Nicotiana langsdorffii x Nicotiana sanderae (Ornamental tobacco)	274
Q84ZX5	reviewed	ALL1_ARTVU	Major pollen allergen Art v 1 (Defensin-like protein 1) (allergen Art v 1)		Artemisia vulgaris (Mugwort)	132
Q868Z9	reviewed	PPN_DROME	Papilin	Ppn CG33103	Drosophila melanogaster (Fruit fly)	2898
Q86IV5	reviewed	CTNA_DICDI	Countin-1	ctnA DDB_G0274597	Dictyostelium discoideum (Social amoeba)	258
Q86LE5	reviewed	MPSIN_RHIMP	Antimicrobial peptide microplusin (Microplusin)		Rhipicephalus microplus (Cattle tick) (Boophilus microplus)	110
Q86M34	reviewed	HEXB_ENTH1	Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-GlcNAcase subunit beta) (Beta-N-acetylhexosaminidase subunit beta) (N-acetyl-beta-glucosaminidase subunit beta)	HEXB EHI_007330	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	565
Q86QT3	reviewed	KGX11_CENNO	Potassium channel toxin gamma-KTx 1.1 (Ergtoxin) (CnErg1) (CnErgTx1) (ErgTx) (ErgTx1)		Centruroides noxius (Mexican scorpion)	62
Q86T13	reviewed	CLC14_HUMAN	C-type lectin domain family 14 member A (Epidermal growth factor receptor 5) (EGFR-5)	CLEC14A C14orf27 EGFR5 UNQ236/PRO269	Homo sapiens (Human)	490
Q86WA6	reviewed	BPHL_HUMAN	Serine hydrolase BPHL (EC 3.1.-.-) (Biphenyl hydrolase-like protein) (Biphenyl hydrolase-related protein) (Bph-rp) (Breast epithelial mucin-associated antigen) (MCNAA) (L-homocysteine-thiolactonase BPHL) (Valacyclovir hydrolase) (VACVase) (Valacyclovirase)	BPHL MCNAA	Homo sapiens (Human)	291
Q86Y34	reviewed	AGRG3_HUMAN	Adhesion G protein-coupled receptor G3 (G-protein coupled receptor 97) [Cleaved into: Adhesion G-protein coupled receptor G3, N-terminal fragment (ADGRG3 N-terminal fragment); Adhesion G-protein coupled receptor G3, C-terminal fragment (ADGRG3 C-terminal fragment)]	ADGRG3 GPR97 PGR26	Homo sapiens (Human)	549
Q86Y78	reviewed	LYPD6_HUMAN	Ly6/PLAUR domain-containing protein 6	LYPD6 UNQ3023/PRO9821	Homo sapiens (Human)	171
Q86YD3	reviewed	TMM25_HUMAN	Transmembrane protein 25	TMEM25 UNQ2531/PRO6030	Homo sapiens (Human)	366
Q86YL7	reviewed	PDPN_HUMAN	Podoplanin (Aggrus) (Glycoprotein 36) (Gp36) (PA2.26 antigen) (T1-alpha) (T1A) [Cleaved into: 29kDa cytosolic podoplanin intracellular domain (PICD)]	PDPN GP36 PSEC0003 PSEC0025	Homo sapiens (Human)	162
Q86YT9	reviewed	JAML_HUMAN	Junctional adhesion molecule-like (Adhesion molecule interacting with CXADR antigen 1) (Dendritic cell-specific protein CREA7-1)	JAML AMICA1 UNQ722/PRO1387	Homo sapiens (Human)	394
Q8AXY1	reviewed	PA2A_BOTJR	Acidic phospholipase A2 BthA-1 (svPLA2) (EC 3.1.1.4) (BOJU-III) (BthA-I-PLA2) (Hypotensive phospholipase A2) (Phosphatidylcholine 2-acylhydrolase)		Bothrops jararacussu (Jararacussu)	138
